Datetime,Temperature (C),Humidity (%),Wind Speed (m/s),Weather
2024-08-07 15:00:00,15.310000000000002,72,5.49,scattered clouds
2024-08-07 18:00:00,15.620000000000005,66,4.35,scattered clouds
2024-08-07 21:00:00,15.689999999999998,60,2.96,broken clouds
2024-08-08 00:00:00,15.810000000000002,61,3.24,broken clouds
2024-08-08 03:00:00,17.850000000000023,54,5.05,broken clouds
2024-08-08 06:00:00,17.75,54,5.36,broken clouds
2024-08-08 09:00:00,17.260000000000048,62,3.62,broken clouds
2024-08-08 12:00:00,15.720000000000027,71,3.26,scattered clouds
2024-08-08 15:00:00,14.879999999999995,76,2.85,clear sky
2024-08-08 18:00:00,14.390000000000043,76,1.85,few clouds
2024-08-08 21:00:00,13.140000000000043,84,3.7,scattered clouds
2024-08-09 00:00:00,13.740000000000009,81,4.59,scattered clouds
2024-08-09 03:00:00,17.52000000000004,66,5.03,overcast clouds
2024-08-09 06:00:00,19.090000000000032,59,4.77,overcast clouds
2024-08-09 09:00:00,18.02000000000004,67,2.9,broken clouds
2024-08-09 12:00:00,16.430000000000007,76,1.44,scattered clouds
2024-08-09 15:00:00,14.670000000000016,80,2.67,clear sky
2024-08-09 18:00:00,13.439999999999998,75,3.41,clear sky
2024-08-09 21:00:00,12.689999999999998,76,3.36,clear sky
2024-08-10 00:00:00,12.990000000000009,71,3.15,clear sky
2024-08-10 03:00:00,18.939999999999998,50,4.75,clear sky
2024-08-10 06:00:00,21.55000000000001,49,3.85,clear sky
2024-08-10 09:00:00,19.760000000000048,61,1.75,clear sky
2024-08-10 12:00:00,17.53000000000003,72,2.41,clear sky
2024-08-10 15:00:00,16.400000000000034,78,3.89,clear sky
2024-08-10 18:00:00,15.620000000000005,85,4.77,clear sky
2024-08-10 21:00:00,15.28000000000003,89,5.8,clear sky
2024-08-11 00:00:00,16.77000000000004,84,6.41,light rain
2024-08-11 03:00:00,15.410000000000025,92,5.44,heavy intensity rain
2024-08-11 06:00:00,17.090000000000032,79,6.6,light rain
2024-08-11 09:00:00,16.83000000000004,73,5.52,light rain
2024-08-11 12:00:00,15.610000000000014,68,4.47,scattered clouds
2024-08-11 15:00:00,15.260000000000048,69,5.78,clear sky
2024-08-11 18:00:00,15.75,71,7.83,light rain
2024-08-11 21:00:00,16.170000000000016,72,9.28,light rain
2024-08-12 00:00:00,16.05000000000001,74,10.24,light rain
2024-08-12 03:00:00,15.28000000000003,75,9.99,light rain
2024-08-12 06:00:00,15.520000000000039,66,9.04,light rain
2024-08-12 09:00:00,15.010000000000048,66,7.86,light rain
2024-08-12 12:00:00,14.78000000000003,61,7.06,light rain
